,pos,left,right,up,down
0,"(2, 2)",,"(3, 2)",,"(2, 3)"
1,"(2, 3)",,,"(2, 2)","(2, 4)"
2,"(2, 4)",,,"(2, 3)","(2, 5)"
3,"(2, 5)",,,"(2, 4)","(2, 6)"
4,"(2, 6)",,"(3, 6)","(2, 5)","(2, 7)"
5,"(2, 7)",,,"(2, 6)","(2, 8)"
6,"(2, 8)",,,"(2, 7)","(2, 9)"
7,"(2, 9)",,,"(2, 8)","(2, 10)"
8,"(2, 10)",,"(3, 10)","(2, 9)",
9,"(3, 2)","(2, 2)","(4, 2)",,
10,"(3, 6)","(2, 6)","(4, 6)",,
11,"(3, 10)","(2, 10)","(4, 10)",,
12,"(4, 2)","(3, 2)","(5, 2)",,
13,"(4, 4)",,"(5, 4)",,"(4, 5)"
14,"(4, 5)",,,"(4, 4)","(4, 6)"
15,"(4, 6)","(3, 6)","(5, 6)","(4, 5)","(4, 7)"
16,"(4, 7)",,,"(4, 6)","(4, 8)"
17,"(4, 8)",,"(5, 8)","(4, 7)",
18,"(4, 10)","(3, 10)","(5, 10)",,
19,"(5, 2)","(4, 2)","(6, 2)",,"(5, 3)"
20,"(5, 3)",,,"(5, 2)","(5, 4)"
21,"(5, 4)","(4, 4)","(6, 4)","(5, 3)",
22,"(5, 6)","(4, 6)","(6, 6)",,
23,"(5, 8)","(4, 8)","(6, 8)",,"(5, 9)"
24,"(5, 9)",,"(6, 9)","(5, 8)","(5, 10)"
25,"(5, 10)","(4, 10)",,"(5, 9)",
26,"(6, 2)","(5, 2)","(7, 2)",,
27,"(6, 4)","(5, 4)","(7, 4)",,
28,"(6, 6)","(5, 6)","(7, 6)",,
29,"(6, 8)","(5, 8)","(7, 8)",,"(6, 9)"
30,"(6, 9)","(5, 9)","(7, 9)","(6, 8)",
31,"(7, 2)","(6, 2)","(8, 2)",,"(7, 3)"
32,"(7, 3)",,,"(7, 2)","(7, 4)"
